EV Chart,1 Floors,2 Floors,3 Floors,4 Floors,5 Floors,6 Floors,7 Floors,8 Floors,9 Floors,10 Floors,11 Floors,12 Floors,13 Floors,14 Floors,15 Floors,16 Floors,17 Floors,18 Floors,19 Floors,20 Floors,21 Floors,22 Floors,23 Floors,24 Floors,25 Floors,26 Floors,27 Floors,28 Floors,29 Floors,30 Floors,31 Floors,32 Floors,33 Floors,34 Floors,35 Floors,36 Floors,37 Floors,38 Floors,39 Floors,40 Floors,41 Floors,42 Floors,43 Floors,44 Floors,45 Floors,46 Floors,47 Floors,48 Floors,49 Floors,50 Floors,51 Floors,52 Floors,53 Floors,54 Floors,55 Floors,56 Floors,57 Floors,58 Floors,59 Floors,60 Floors,61 Floors,62 Floors,63 Floors,64 Floors,65 Floors,66 Floors,67 Floors,68 Floors,69 Floors,70 Floors,71 Floors,72 Floors,73 Floors,74 Floors,75 Floors,76 Floors,77 Floors,78 Floors,79 Floors,80 Floors,81 Floors,82 Floors,83 Floors,84 Floors,85 Floors,86 Floors,87 Floors,88 Floors,89 Floors,90 Floors,91 Floors,92 Floors,93 Floors,94 Floors,95 Floors,96 Floors,97 Floors,98 Floors,99 Floors,100 Floors
11 People,1,2,2,3,4,5,5,6,6,6,7,7,7,7,8,8,8,8,8,8,8,8,8,9,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
12 People,1,2,3,3,4,5,5,6,6,7,7,7,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,10,10,10,10,10,10,11,11,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
13 People,1,2,2,3,4,5,6,6,7,7,7,8,8,8,8,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,11,11,11,12,11,12,11,12,12,12,12,12,11,11,12,11,12,12,12,12,12,12,12,12,12,12,11,12,12,12,12,12,12
14 People,1,2,3,3,4,5,6,6,7,7,8,8,8,9,9,9,9,9,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,12,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,12,13,13,13,13,13,12,13,13,13,13
15 People,1,2,2,3,4,5,6,6,7,7,8,8,9,9,9,9,10,10,10,10,11,10,11,11,11,11,11,11,11,12,11,11,12,12,12,12,12,12,12,12,12,12,12,12,13,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,13,14,13,13,13,13,13
16 People,1,2,3,3,4,5,6,7,7,8,8,9,9,9,10,10,10,10,10,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
17 People,1,2,3,3,4,5,6,7,7,8,8,9,9,10,10,10,11,11,11,11,11,11,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
18 People,1,2,3,3,4,5,6,7,7,8,9,9,9,10,10,11,11,11,11,12,12,12,12,12,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,15,15,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,15,16,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
19 People,1,2,3,3,4,5,6,7,8,8,9,9,10,10,11,11,11,11,12,12,12,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,16,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,16,16,17,16,16,16,16,17,17,17,17,16,17,17,17,17,17,17,17,17,17,17,17,17
20 People,1,2,3,4,4,5,6,7,8,8,9,9,10,10,11,11,12,12,12,12,12,13,13,13,14,13,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,17,17,18,18,18,18,17,18,18,18,18
21 People,1,2,3,4,4,5,6,7,8,8,9,9,10,11,11,11,12,12,13,13,13,13,13,14,14,14,14,15,15,15,15,15,15,16,16,15,16,16,16,16,16,16,17,16,16,16,17,16,17,17,17,17,17,17,17,17,17,18,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,18,18
22 People,1,2,3,4,4,5,6,7,8,9,9,10,10,11,11,11,12,12,13,13,13,13,14,14,14,15,15,15,15,15,15,16,16,16,16,16,16,16,17,16,17,17,17,17,17,17,17,17,17,17,17,18,18,17,18,18,18,18,18,18,18,18,18,18,19,18,18,19,18,18,19,19,19,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
23 People,1,2,3,4,4,5,6,7,8,9,9,10,10,11,11,12,12,13,13,13,14,14,14,14,15,15,15,15,15,16,16,16,16,16,17,17,17,17,17,17,18,17,17,17,18,18,18,18,18,18,18,18,18,18,19,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
24 People,1,2,3,4,4,5,6,7,8,9,10,10,11,11,12,12,13,13,13,14,14,14,14,15,15,15,15,16,16,16,16,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,20,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,20,21,20,20,21,21,20,20,21,21,21,21,21,21,21,21,21
25 People,1,2,3,4,5,5,6,7,8,9,9,10,11,11,12,12,13,13,14,14,14,15,15,15,15,16,16,16,16,17,17,17,17,17,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,20,19,19,20,19,20,20,20,20,20,20,20,20,20,20,21,21,20,21,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,21,22,22,22,22,22,22,22
26 People,1,2,3,4,4,5,6,7,8,9,10,10,11,11,12,13,13,13,14,14,14,15,15,15,16,16,17,16,17,17,17,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,22,21,21,22,22,22,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,22,22,23
27 People,1,2,3,4,5,5,6,7,8,9,10,10,11,12,12,13,13,14,14,14,15,15,15,16,16,17,17,17,17,18,18,18,18,19,19,19,19,19,19,19,19,20,20,20,20,20,20,21,20,20,21,20,20,21,21,21,21,21,21,22,21,22,22,21,22,22,22,22,22,22,22,22,22,22,22,23,22,22,23,22,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24
28 People,1,2,3,4,4,5,6,7,8,9,10,10,11,12,13,13,13,14,14,15,15,15,16,16,17,17,17,17,18,18,18,19,18,19,19,19,19,20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,22,22,21,22,22,22,22,22,22,22,22,22,23,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,23,24,24,24,24,24,24,24,24,24
29 People,1,2,3,4,4,5,6,7,8,9,10,10,11,12,13,13,14,14,15,15,15,16,16,17,17,17,17,18,18,18,19,19,19,19,19,20,20,20,20,20,20,21,21,21,21,21,21,22,21,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,24,25,25,24,25,25,25
30 People,1,2,3,4,5,5,6,7,8,9,10,11,11,12,12,13,14,14,15,15,16,16,16,17,17,18,18,18,18,19,19,19,19,20,20,20,20,20,21,20,21,21,21,21,22,21,22,22,22,23,22,22,23,22,23,23,23,23,23,23,23,24,23,24,24,24,24,24,24,24,24,24,24,24,24,24,25,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26
31 People,1,2,3,4,5,5,6,7,8,9,10,11,11,12,13,13,14,14,15,15,16,16,17,17,18,18,18,18,19,19,19,20,20,20,20,21,21,21,21,22,21,21,22,22,22,22,23,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,24,24,25,24,25,25,25,25,25,25,25,25,25,25,25,26,25,25,26,26,26,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26
32 People,1,2,3,4,5,5,6,7,8,9,10,11,11,12,13,13,14,15,15,16,16,16,17,17,18,18,19,19,19,19,19,20,20,20,21,21,21,21,22,21,22,22,22,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25,26,26,25,25,26,26,25,26,26,26,26,26,26,26,27,26,26,26,26,26,27,26,27,27,27,27,27,27,27,27
33 People,1,2,3,4,5,6,6,7,8,9,10,11,11,12,13,14,14,15,15,16,16,17,17,17,18,19,19,19,19,20,20,20,20,21,21,22,21,22,22,22,22,23,23,23,23,23,24,23,24,24,24,24,24,25,24,24,24,25,25,25,25,25,25,25,26,26,26,26,26,26,26,26,26,26,27,26,26,27,27,27,26,27,27,27,27,27,27,27,27,28,27,27,28,28,28,28,28,28,28,28
34 People,1,2,3,4,5,6,6,7,8,9,10,11,12,12,13,14,14,15,15,16,16,17,17,18,18,19,19,20,20,20,20,21,21,21,21,22,22,22,22,22,23,23,23,23,24,24,24,24,25,24,25,25,25,25,25,25,26,25,25,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,27,27,28,27,28,27,27,28,28,28,28,28,28,28,28,28,28,29,29,28,28
35 People,1,2,3,4,5,6,6,7,8,9,10,11,12,12,13,14,15,15,16,16,17,17,18,18,18,19,19,20,20,20,21,21,21,22,22,22,22,23,23,23,23,24,24,24,24,24,24,24,25,24,25,25,25,25,25,26,26,26,26,26,26,26,27,26,27,27,27,27,27,27,27,27,27,27,27,27,28,28,28,28,28,28,28,28,29,29,28,29,29,29,29,29,29,29,29,29,29,29,29,29
36 People,1,2,3,4,5,6,6,7,8,9,10,11,12,13,13,14,14,15,16,16,17,18,18,18,19,19,20,20,20,21,21,21,22,22,22,23,23,23,23,23,23,24,24,24,24,25,25,25,25,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,28,27,28,28,28,28,28,29,28,28,28,28,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,30,29,29,30,30
37 People,1,2,3,4,4,5,6,7,8,9,10,11,12,13,13,14,15,15,16,16,17,17,18,19,19,20,20,20,21,21,21,21,22,22,23,23,23,23,24,24,24,24,24,25,25,25,25,25,26,26,26,26,26,26,26,27,27,27,27,27,27,27,28,27,28,28,28,28,28,28,28,29,29,29,29,29,29,29,30,29,29,29,30,30,30,30,30,30,30,30,30,30,30,31,30,31,31,31,30,31
38 People,1,2,3,4,5,5,6,7,8,9,10,11,12,13,13,14,15,16,16,17,17,18,18,19,19,20,20,20,21,21,22,22,22,22,23,23,23,24,24,24,24,25,25,25,25,26,26,26,26,26,27,27,27,27,27,27,28,27,28,28,28,28,28,28,28,29,29,29,29,30,29,29,29,29,29,30,30,29,30,30,30,30,30,30,31,30,30,30,31,31,31,31,31,31,31,31,31,31,31,31
39 People,1,2,3,4,5,6,6,7,8,9,10,11,12,13,14,14,15,15,16,17,17,18,19,19,19,20,20,21,21,22,22,22,22,23,23,23,24,24,24,24,25,25,25,25,26,26,26,26,27,27,27,28,27,27,27,28,28,28,28,28,28,29,29,29,29,29,29,29,29,29,29,30,30,30,30,30,30,30,30,31,31,31,31,31,31,31,31,31,31,31,31,31,32,31,32,32,32,32,32,32
40 People,1,2,3,4,5,6,7,7,8,9,10,11,12,13,14,14,15,16,16,17,18,18,18,19,20,20,20,21,21,22,22,22,23,23,23,23,24,25,24,25,25,25,25,26,26,26,27,27,27,28,27,27,28,28,28,28,29,29,29,29,29,29,29,29,30,30,30,30,30,30,30,30,31,30,30,31,31,31,31,31,31,31,31,31,31,32,32,32,32,32,33,32,32,32,32,33,32,33,33,32
41 People,1,2,3,4,5,6,7,7,8,9,10,11,12,13,14,14,15,16,16,17,18,18,19,19,20,20,21,21,21,22,22,23,23,23,24,24,24,25,25,25,26,26,26,26,26,27,27,27,27,28,28,28,29,28,28,29,29,29,29,29,30,30,30,30,30,30,31,30,30,31,31,31,31,31,31,32,32,31,32,32,32,32,32,32,32,32,33,32,32,33,33,33,33,33,33,33,33,33,33,33
42 People,1,2,3,4,5,6,6,7,8,9,10,11,12,13,14,15,15,16,17,17,18,18,19,20,20,21,21,21,22,22,22,23,24,24,24,25,25,25,26,26,26,26,27,27,27,28,28,28,28,28,28,29,29,29,29,29,30,30,30,30,30,30,30,31,30,31,31,31,31,31,31,32,32,32,32,32,32,32,32,32,33,33,33,33,33,33,33,33,33,33,33,33,33,34,34,34,34,34,34,34
43 People,1,2,3,4,5,6,7,7,8,9,10,11,12,13,14,15,15,16,16,17,18,19,19,20,20,21,21,22,22,23,23,23,24,24,25,25,25,26,26,26,26,27,27,27,28,28,28,28,28,28,28,29,29,29,29,30,30,30,30,30,31,30,31,31,32,32,31,32,32,32,32,32,32,32,33,32,33,33,32,33,33,33,34,33,33,33,33,33,34,34,34,34,34,34,34,35,34,35,34,35
44 People,1,2,3,4,5,6,7,7,8,9,10,11,12,13,14,15,15,16,16,17,18,19,19,20,20,21,21,22,22,23,23,24,24,24,25,25,26,26,26,26,27,27,27,28,28,28,28,29,28,29,29,29,30,30,30,30,30,30,30,31,31,31,31,32,32,32,32,32,32,32,32,33,33,33,33,33,33,33,33,34,34,34,33,34,34,34,34,35,34,35,35,34,35,34,35,35,35,35,35,35
45 People,1,2,3,4,5,6,6,7,8,9,10,11,12,13,14,15,15,16,17,17,18,19,20,20,20,21,22,22,23,23,23,24,24,25,25,25,26,26,26,26,27,27,27,28,28,28,29,29,29,29,29,30,30,30,30,31,31,31,31,32,31,32,32,32,32,32,33,32,33,32,33,33,33,33,34,34,33,34,34,34,34,34,34,34,35,35,35,35,35,35,35,35,35,36,35,36,35,36,36,36
46 People,1,2,3,4,5,6,6,7,8,9,10,11,12,13,14,15,15,16,17,17,18,19,20,20,21,21,22,22,23,23,24,24,25,25,25,26,26,26,27,27,27,28,28,28,29,29,29,29,29,30,30,30,30,30,31,31,31,31,32,31,32,32,33,32,33,33,33,33,33,33,34,34,34,34,34,35,35,34,35,34,34,35,35,35,35,35,35,35,36,36,35,36,36,36,36,36,36,36,37,36
47 People,1,2,3,4,5,6,6,7,8,9,10,11,12,13,14,15,15,16,17,18,18,19,20,20,21,21,22,23,23,23,24,25,25,25,26,26,26,27,27,27,27,28,28,29,29,29,29,30,30,30,30,31,31,31,31,31,32,32,32,32,32,33,33,33,33,33,34,34,34,34,34,34,34,34,34,35,35,35,35,35,35,36,36,36,36,36,36,36,36,36,37,37,37,37,36,37,37,37,37,37
48 People,1,2,3,4,5,6,7,7,8,9,10,11,12,13,14,15,16,16,17,18,18,19,20,21,21,21,22,22,23,24,24,24,25,25,26,26,27,27,27,28,28,29,29,29,29,29,30,30,30,30,31,31,31,31,32,32,32,32,33,33,33,34,33,34,33,34,34,34,35,34,34,35,35,35,35,35,35,36,36,35,35,36,36,36,36,36,37,37,37,37,37,37,37,38,38,37,38,37,38,38
49 People,1,2,3,4,5,5,7,7,8,9,10,11,12,13,14,15,16,16,17,18,18,19,20,21,21,22,22,23,24,24,25,24,25,26,27,27,27,27,28,28,28,29,29,29,30,30,30,31,30,31,32,32,31,32,32,32,33,33,33,33,33,34,34,34,34,34,34,35,35,35,35,35,35,35,36,36,36,36,36,36,37,37,37,37,37,37,37,37,37,38,38,38,38,38,38,38,38,38,38,38
50 People,1,2,3,4,4,6,6,7,9,9,10,11,12,13,14,15,16,16,17,18,19,19,20,21,21,22,23,23,23,24,24,25,26,26,26,27,27,27,28,28,29,29,29,29,30,30,31,31,31,31,32,32,32,32,32,33,33,33,33,34,34,34,34,35,34,35,35,35,35,35,36,36,35,36,36,36,37,36,37,37,37,37,37,37,37,38,38,38,38,38,38,38,38,38,39,39,39,39,39,39
51 People,1,2,3,4,5,6,7,7,8,9,10,11,12,13,14,15,16,17,17,18,19,19,20,21,21,22,23,23,24,24,25,25,26,26,26,27,27,28,28,28,29,29,29,30,30,30,31,31,31,32,32,32,32,33,33,33,33,34,34,34,34,34,35,35,35,35,35,36,36,36,36,36,36,37,37,37,37,37,38,37,37,38,38,38,38,38,38,38,38,39,38,39,39,39,39,39,39,39,40,39
52 People,1,2,3,4,5,6,7,8,8,9,10,11,12,13,14,15,16,17,17,18,19,19,20,21,21,22,23,24,24,24,25,26,26,27,27,27,28,28,28,29,29,30,30,30,30,30,31,32,32,32,32,32,33,33,33,34,33,34,34,35,35,35,35,35,35,35,36,36,36,36,37,37,37,37,37,37,38,38,38,38,38,38,38,39,38,39,39,39,39,39,39,40,40,39,40,40,40,40,40,41
53 People,1,2,3,4,5,6,7,8,8,9,10,11,12,13,14,15,16,17,18,18,19,20,20,21,22,22,23,24,24,25,25,26,26,26,27,28,28,28,29,29,29,29,30,31,31,31,32,32,32,32,33,33,33,34,33,34,34,35,35,35,35,35,36,36,36,36,37,37,37,37,37,37,37,37,38,38,38,38,38,38,39,38,39,39,39,39,39,40,40,40,40,40,40,40,40,40,41,41,41,41
54 People,1,2,3,4,5,6,7,8,9,9,10,11,12,13,14,15,16,17,18,18,19,20,20,21,22,22,23,24,24,25,25,26,26,26,27,28,28,29,29,29,30,30,31,31,31,31,32,32,33,33,33,33,33,34,34,35,35,35,35,35,36,36,36,36,37,37,37,37,37,37,38,38,38,38,39,39,39,39,39,39,39,39,39,39,40,40,40,40,40,40,40,40,41,41,41,41,41,41,41,41
55 People,1,2,3,4,5,6,6,7,9,9,10,11,12,13,14,15,16,17,18,18,19,20,21,21,22,23,23,24,24,25,25,26,26,27,27,28,28,29,29,29,30,30,31,31,32,32,32,32,33,33,33,33,34,34,35,35,35,35,35,36,36,36,36,37,37,37,37,38,38,38,38,38,38,39,39,39,39,39,39,40,40,40,39,40,40,40,40,41,41,41,41,41,41,41,41,41,42,42,42,42
56 People,1,2,3,4,5,6,7,7,8,9,10,11,12,13,14,15,16,17,18,18,19,20,21,21,22,22,23,24,24,25,26,26,27,27,28,28,28,29,29,30,30,31,31,32,32,32,32,33,33,34,34,34,34,35,35,35,35,35,36,36,36,36,37,37,37,37,37,38,38,38,39,38,39,39,39,39,39,40,40,40,40,40,40,40,41,41,41,41,41,41,42,42,42,42,42,42,42,42,43,43
57 People,1,2,3,4,5,6,7,8,8,9,10,11,12,13,14,15,16,17,18,19,19,20,21,21,22,23,23,24,24,25,26,26,27,27,28,28,29,29,30,30,31,31,31,32,32,32,33,33,33,34,34,34,35,35,36,35,35,36,36,36,37,37,37,37,38,38,38,38,39,39,39,39,39,39,40,40,41,40,40,40,40,41,41,41,42,42,41,42,41,42,42,42,42,42,42,42,42,43,43,43
58 People,1,2,3,4,5,6,7,7,8,9,10,11,12,13,14,15,16,17,18,19,19,20,21,22,22,23,23,24,25,25,26,27,27,27,28,28,29,30,30,30,31,31,31,32,32,33,33,34,34,34,34,35,35,35,36,36,36,36,37,37,37,37,38,38,38,38,39,39,39,39,39,40,40,40,40,40,40,41,41,41,41,41,41,42,41,42,41,42,42,42,42,43,43,43,43,43,44,44,44,44
59 People,1,2,3,4,5,6,7,7,9,10,10,11,12,13,14,15,16,17,18,19,19,20,21,22,22,23,23,24,25,25,26,27,27,28,28,29,29,30,30,31,31,31,32,32,33,33,33,33,34,34,35,35,35,36,36,36,36,37,37,37,37,38,38,39,38,38,38,39,39,40,39,40,40,40,40,40,41,41,41,41,42,42,42,42,42,42,43,42,43,43,43,43,44,43,44,44,44,44,44,44
60 People,1,2,3,4,5,6,7,8,8,9,10,11,12,13,14,15,16,17,18,19,19,20,21,22,22,23,24,24,25,26,27,26,27,28,28,29,29,30,30,31,31,32,32,33,33,33,34,34,35,35,35,35,36,36,36,37,37,37,37,38,38,38,39,39,39,39,39,40,40,40,41,41,40,41,41,41,42,41,42,42,42,42,43,43,43,43,43,43,43,44,44,44,44,44,44,45,45,45,45,45
61 People,1,2,3,4,5,6,7,8,8,9,10,11,12,13,14,15,16,17,18,19,19,20,21,22,22,23,23,24,25,26,27,27,27,28,28,29,30,30,30,31,31,32,33,33,33,34,34,34,35,35,35,36,36,36,36,37,37,38,38,38,39,38,39,39,39,40,40,39,41,40,40,41,41,41,41,42,42,42,42,42,43,43,42,43,43,44,44,43,44,44,44,44,45,45,44,45,45,45,45,45
62 People,1,2,3,4,5,6,7,7,9,9,10,11,12,13,14,15,16,17,18,19,20,20,21,22,22,23,24,25,25,26,27,27,28,28,28,29,30,30,31,31,32,32,32,33,33,34,34,34,35,35,36,36,36,36,37,37,37,38,38,38,39,39,39,40,39,40,41,41,40,41,41,41,41,41,42,42,42,43,43,43,43,43,43,44,43,44,44,45,45,44,44,45,45,45,45,45,45,46,46,46
